,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
988,Education,The Storybuilding Tool Kit,The Storybuilding Tool Kit,Series 1 Episode 4 Illustration,Unlock the secrets of your favourite story genres. Create your own fantastic characters and send them on epic journeys! Stages 3-4 English,Is a picture really worth a thousand words? Ted E. Bear asks some local authors and illustrators what they think.,"['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1730V004S00_59938aad28a4d_1280.jpg,No more information found,"['abc3', 'me-prod', 'education', 'primary-english', 'secondary-english']",2020-03-18 06:00:00,G,187
989,Education,Teeny Tiny Stevies,Teeny Tiny Stevies,Plastic,Teeny Tiny Stevies make content for children filled with cheerful folk-pop tunes covering topics that explore important social messages in a fun and relatable manner.,"A short history of the invention of plastic, why we started using it and how it's now gotten a little out of hand. Let's all do what we can to leave less plastic lying around.","['ABC Kids', 'ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH1927V004S00_6004bc71cc02a_1280.jpg,No more information found,"['abc4kids', 'education', 'abc3', '4song', '4sing']",2021-02-12 12:18:53,G,170
990,Education,Maddie's Do You Know?,Maddie's Do You Know?,How is it Made? Wellies,Learn new things with Maddie as she explores the world and discovers how stuff works.,Maddie visits a wellie factory to see how wellies are made. She uses her special cameras to see how the PVC material is injected into the wellie moulds - a bit like making a jelly!,"['ABC ME', 'ABC Kids', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3068A_6167bf573278d_1920.jpg,Host Maddie Moate,"['abc3', 'education', 'primary-maths', 'abc4kids']",2022-01-03 08:45:00,G,412
991,Education,MathXplosion,MathXplosion,Series 1 Star Power!,"In each entertaining and funny math-short, 'mathemagician' Eric shares secrets from the not-so-hidden world of math, such as measuring the height of a tree using your thumb! But make no mistake, it's not magic, it's math! Stages 1-3 Maths",Our famous mathemagician wants to show you how you too can reach the stars! All you need is a piece of folded paper and some scissors to create a perfect five-point star. It's Not Magic It's Math!,"['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1646A044S00_5b4d8e1f7c4fa.jpg,No more information found,"['abc3', 'education', 'primary-maths']",2018-07-23 06:00:00,G,180
992,Education,China Tonight,China Tonight Extras,Who can afford a house in China?,"Stan Grant and Yvonne Yong take a fresh look at news from inside China. We go beyond the headlines of trade wars and global posturing to bring you stories of China's rise in the world, and the changes and challenges at home.","Despite government policy to cool the market, the average price of a new home in China has been increasing every month this year, showing no signs of slowing down. Annie Louey took a look.",['ABC NEWS'],https://cdn.iview.abc.net.au/thumbs/i/13388838-16x9-xlarge-v2.jpg,"Hosts Stan Grant, Yvonne Yong","['China', 'videoclips']",2021-06-15 20:13:52,No data found,257
993,Education,ScienceXplosion,ScienceXplosion,Series 1 Episode 40 Eric Makes Paper!,"The world of science, technology, engineering and mathematics affects the way we live every day. ScienceXplosion magician and scientist, Eric, helps to navigate our science-filled world - guided by his good friend VOX. Stages 3 and 4 Science, TAS, STEM","Recycling is important! Eric discovers how to make new paper from old. It's not magic, it's science... it's STEM!","['ABC ME', 'EDUCATION', 'SCIENCE']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2194A040S00_5e437ac312616_1280.jpg,No more information found,"['abc3', 'education', 'primary-maths', 'secondary-maths', '3science-week', 'science']",2020-02-24 06:03:15,G,232
994,Education,ScienceXplosion,ScienceXplosion,Series 1 Episode 22 The Colour Of Heat,"The world of science, technology, engineering and mathematics affects the way we live every day. ScienceXplosion magician and scientist, Eric, helps to navigate our science-filled world - guided by his good friend VOX. Stages 3 and 4 Science, TAS, STEM","It's a beautiful sunny day! Eric learns how the colour of his clothing can make him feel very warm or much cooler! It's not magic, it's science, it's STEM!","['ABC ME', 'EDUCATION', 'SCIENCE']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2194A022S00_5e425eca54960.jpg,No more information found,"['abc3', 'education', 'primary-maths', 'secondary-maths', '3science-week', 'science']",2020-02-24 06:01:45,G,180
995,Education,MathXplosion,MathXplosion,Series 1 Pop Up Paper!,"In each entertaining and funny math-short, 'mathemagician' Eric shares secrets from the not-so-hidden world of math, such as measuring the height of a tree using your thumb! But make no mistake, it's not magic, it's math! Stages 1-3 Maths","This episode introduces paper engineering: the art of following a specific sequence of origami folding instructions using a standard sheet of paper, a few cuts and reverse folds to construct a 3D object.","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1646A026S00_5b4d8c397bf24.jpg,No more information found,"['abc3', 'education', 'primary-maths']",2018-07-23 06:00:00,G,210
996,Education,The Stickie Gang,The Stickie Gang,Episode 8 Grouping and Measuring,"Angie, Eddie and Mia are best friends who live on Stickie Street. Their lovable dog, Ruffles, is always nearby wanting to join in! They love learning, playing and solving problems together, and having fun while they do it.","Angie, Eddie and Mia learn to share out their snacks at a birthday party. Whilst they're trying to be equal and fair, Ruffles the dog has another idea for the ideal snack.","['ABC ME', 'ABC Kids', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH1929H_5f8e4ca0e8920_1920.jpg,No more information found,"['abc3', 'education', 'abc4kids', 'primary-maths']",2020-10-26 06:10:00,G,73
997,Education,Same But Different,Same But Different,Series 1 Alexandra's Story,"Short documentary portraits of primary children with a range of disabilities, learning differences and medical conditions.","We meet Alexandra, a seven-year-old triplet who unlike her other two sisters has Down's Syndrome. We see how Alexandra's sisters, Felicia and Eleanor, play a big part in her life, helping her with everyday things.","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/publicity_ZW0089A005S00.jpg,No more information found,"['abc3', 'education', 'mental-as', '\nc:3childrensday']",2021-07-15 10:00:00,G,504
998,Education,Weather On The Go,Weather On The Go,Series 1 Thunder and Lightning Idioms,"Weather On The Go is a series that teaches you everything you need to know about Australian weather as well as weather idioms used in daily conversation. Stage 4 English, Science and Geography.",Weather On The Go is a series that teaches you everything you need to know about Australian weather as well as weather idioms used in daily conversation.,"['ABC ME', 'EDUCATION', 'SCIENCE']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1920H007S00_5cbe9c88ea440.jpg,No more information found,"['abc3', 'education', 'secondary-maths', 'secondary-science', 'science', 'science-week', 'environment', 'nature', 'natural-world']",2019-05-05 06:00:00,G,120
999,Education,Pocket Compass,Pocket Compass,Series 1 Episode 2 Feminism: Whatever Happened To Women's Lib,"Study editions of the popular ABC Religion and Ethics series 'Compass'. Stages 4-5 History.
","Before the #me-too campaign, there was a much bigger women's movement in the 1960s. They were fighting for equality and liberation from predefined roles in society. It became known as the Women's Liberation Movement.","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ck/CK1807H002S00_5afd11f8d9112_1280.jpg,No more information found,"['abc3', 'education', 'secondary-history']",2018-05-24 11:41:26,PG,781
1000,Education,Australia's Prime Ministers,Australia's Prime Ministers,Malcolm Fraser,"This series profiles Australia's leaders, featuring career highlights and giving insights into the different eras in which they lead the nation. Stages 3-4 HSIE, English.","This series profiles Australia's leaders, featuring career highlights and giving insights into the different eras in which they lead the nation. This episode features Malcolm Fraser.","['ABC ME', 'EDUCATION', 'DOCUMENTARY']",https://cdn.iview.abc.net.au/thumbs/i/zx/ZX6423A022S00_5a014e1edef8c_1280.jpg,No more information found,"['education', 'abc3', 'docs', 'secondary-history', 'primary-humanities']",2022-02-28 09:00:00,G,175
1001,Education,Teenage Boss (Simplified Chinese Subtitles),Teenage Boss (Simplified Chinese Subtitles),Series 2 James,"Hosted by Australia's star mathematics teacher, Eddie Woo, follow 15 teenagers from across Australia, as they take charge of the family budget.","James is the Teenage Boss when he's at his mum's (which is half the time) and finds it hard to curb his family's spending on going out, particularly with new girlfriend, Riley and brother, Ashton's birthdays coming up.","['ABC ME', 'EDUCATION', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/iv/IV1927S008S00_60120616785db_1280.jpg,No more information found,"['abc3', 'education', 'iview', 'family-viewing']",2021-02-12 06:00:00,G,1620
1002,Education,ScienceXplosion,ScienceXplosion,Series 1 Episode 32 Sensational Senses!,"The world of science, technology, engineering and mathematics affects the way we live every day. ScienceXplosion magician and scientist, Eric, helps to navigate our science-filled world - guided by his good friend VOX. Stages 3 and 4 Science, TAS, STEM","Eric uses 4 of his 5 senses to identify a mystery object. It's not magic, it's science, it's STEM!","['ABC ME', 'EDUCATION', 'SCIENCE']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2194A032S00_5e437a0920b80_1280.jpg,No more information found,"['abc3', 'education', 'primary-maths', 'secondary-maths', '3science-week', 'science']",2020-02-24 06:02:35,G,240
1003,Education,MathXplosion,MathXplosion,Series 1 Vanishing Into The Sunset,"In each entertaining and funny math-short, 'mathemagician' Eric shares secrets from the not-so-hidden world of math, such as measuring the height of a tree using your thumb! But make no mistake, it's not magic, it's math! Stages 1-3 Maths","Did you know that some things can appear far away - as though they were disappearing - when you look at them on a level surface? It's an optical illusion known as the ""vanishing point."" It's Not Magic It's Math!","['ABC ME', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1646A036S00_5b4d8e1a5a8c8.jpg,No more information found,"['abc3', 'education', 'primary-maths', 'kindersolder']",2018-07-23 06:00:00,G,180
1004,Education,Let's Dance,Let's Dance,Ballet Saute,"Set in the inspiring studios of the National Ballet School of Canada, this high-energy series features ordinary kids with big personalities who just love to dance.","Dancers will be practicing their Sautes which means ""to jump"" in French. They'll be jumping their way into he finale in a cool, mystical world.","['ABC Kids', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3254A_6214383f4f5f3_3600.jpg,No more information found,"['abc4kids', 'education', 'primary-health']",2022-03-14 06:06:20,G,399
1005,Education,Learn A Word,Learn A Word,At,Learn a Word Series 2 demonstrates fun ways and range of strategies for early readers to learn basic words in English. Learn a Word is informed by the Australian National Curriculum.,"Learn to spell and write the word At. This series shows an easy way to learn the basic words used in English, based on the Australian National Curriculum.","['ABC ME', 'ABC Kids', 'EDUCATION']",https://cdn.iview.abc.net.au/thumbs/i/ch/CH1915H004S00_5ebe0ee18bb07_1280.jpg,No more information found,"['abc3', 'education', 'primary-english', 'kindersolder', 'abc4kids']",2020-04-27 14:00:00,G,90
1006,Education,BTN Specials,BTN Specials,Series 2020 Episode 11 Women In History,"This collection of BTN Specials has been curated to target key areas of the Australian curriculum. They cover a range of learning areas including humanities and social sciences, science and design and technologies.","We look at some famous women in history, from those who fought for the right to vote to the female politicians that followed. Learn about changes to the rights of women and find out about some inspirational Indigenous women.","['ABC ME', 'EDUCATION', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/ne/NE2001S011S00_5ea7acd782901.jpg,No more information found,"['education', 'abc3', 'ls', 'family-viewing']",2022-03-09 11:01:13,No data found,811
