,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
420,Family,What Is Music?,What Is Music?,Do You Need To Read Music To Play It?,Why do we love a good beat? Does classical music really make you smarter? Join triple j's Linda Marigliano and composer Dan Golding as they explore the electrifying fusion of emotion and science in music.,NO. But what's the deal behind those squiggles? We try to learn to read basic sheet music in 90 seconds and we trace the evolution of music notation.,"['ABC ARTS', 'ABC TV', 'ARTS & CULTURE', 'DOCUMENTARY', 'EDUCATION', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1719H011S00_5ba8872e0b97a_1280.jpg,"Host Dan Golding, Linda Marigliano","['iview', 'abcarts', 'arts', 'music', 'docs', 'factual', 'docs-short', 'abc1', 'education', 'family-viewing', 'secondary-arts']",2022-01-24 06:00:00,G,580
421,Family,Robot Wars,Robot Wars,Series 9 Episode 5,"Robot Wars is a knockout competition to find the toughest, most advanced fighting robots. In this fast-paced series, competing teams of amateur robot designers build robots to fight to the death in a bulletproof arena.","This penultimate episode sees reigning champions, Apollo, mount their defence of the title against Ms Nightshade, Coyote, Rusty, Crackers'N'Smash, Meggamouse, Trolley Rage and second place finalist from last series, Carbide.",['ABC ME'],https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1386A005S00_5fe1795981982.jpg,"Host Dara O'Briain, Angela Scanlon","['abc3', 'family-viewing-abcme', '3featured', 'family-viewing']",2021-01-08 06:00:00,G,3540
422,Family,Athleticus,Athleticus,Series 3 Episode 5 Kite Skate,"From table tennis to fixed bar, bobsleigh and curling, the animals of Athleticus react according to their personality and the peculiarities of their anatomy, creating comical or poetic situations, but always offbeat.","The young elephant is gifted a skateboard. Meanwhile, the young giraffe is playing with its kite. Eager to hang out together, the two friends invent a new form of urban mobility: Welcome to ""kite-skate!""","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3061A005S00_6143f5a684155_1920.jpg,No more information found,"['abc3', '3toons', 'family-viewing']",2021-11-21 06:00:00,G,135
423,Family,Odd Squad,Odd Squad,Series 1 Trading Places,"The Odd Squad Mobile Unit is back for more global adventures! From Paris, to Chicago, to Singapore, the team will travel the world in search of anything strange, weird, and especially odd.","A villain uses one of Oscar's gadgets to cause destruction around town, which eventually leads to Olive getting kicked off the squad.","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW0308A105S0056fc6460a75fb8.63737772_1280.jpg,"Cast Alyssa Hidalgo, Gavin MacIver-Wright, Glee Dango, Jayce Alexander, Shazdeh Kapadia","['abc3', '3shoulder', '3tween', '3learn', '3oddsquad', 'abc3-faves', 'me-onboard', 'childrens', 'family-viewing-abcme', 'entertainment', 'investigation', 'adventure', 'explore', 'learn', 'mystery', 'funny', 'family-viewing']",2021-08-01 08:45:00,G,690
424,Family,Stackorama!,No data found,Stackorama!,"Jaydyn Coggins, the best cup stacker in Australia, travels to the World Sports Stacking Championships in Florida. Dogged by a series of setbacks, Jaydyn must call on all his skill and family support for a shot at his dreams.","Jaydyn Coggins, the best cup stacker in Australia, travels to the World Sports Stacking Championships in Florida. Dogged by a series of setbacks, Jaydyn must call on all his skill and family support for a shot at his dreams.","['ABC TV Plus', 'DOCUMENTARY', 'SPORT', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1917S001S00_60503de70551a.jpg,No more information found,"['abc2', 'docs', 'factual', 'sport', 'endearing', 'disability', 'uplifting', 'inspirational', 'real-life', 'feel-good', 'diversity', 'abcme-shoulder', 'a:young-sink-dink', 'a:older-sink-dink', 'ns:be-informed', 'ns:understand', 'ns:be-uplifted', 'ns:be-inspired', 'australia', 'family-viewing']",2021-03-31 21:45:07,PG,3586
425,Family,Bluey (Mandarin),Bluey (Mandarin),Shaun,"Bluey is an inexhaustible six-year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination and her mental, physical and emotional resilience. (Mandarin)","Bluey is an inexhaustible six-year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination and her mental, physical and emotional resilience. (Mandarin)","['ABC Kids', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2653A036S00_61ea30cfc06bf_1280.jpg,No more information found,"['abc4kids', 'childrens', 'mandarin', 'family-viewing']",2022-02-01 06:02:30,G,420
426,Family,Athleticus,Athleticus,Series 3 Episode 15 Park Fun,"From table tennis to fixed bar, bobsleigh and curling, the animals of Athleticus react according to their personality and the peculiarities of their anatomy, creating comical or poetic situations, but always offbeat.","A mum and dad elephant carry their baby to the park for some fun. But the little one can't stand still for one second, offering its weary parents no rest!","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3061A015S00_6149778abc821.jpg,No more information found,"['abc3', '3toons', 'family-viewing']",2021-11-21 06:00:00,G,135
427,Family,Bluey (Mandarin),Bluey (Mandarin),Markets,"Bluey is an inexhaustible six-year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination and her mental, physical and emotional resilience. (Mandarin)","When Bluey visits the markets with five bucks from the tooth fairy, the options are endless. But as she and Indy scour the stalls for the perfect purchase, spending it proves hard.","['ABC Kids', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2653A026S00_601a423769d8e.jpg,No more information found,"['abc4kids', 'childrens', 'mandarin', 'family-viewing']",2021-02-05 08:20:00,No data found,420
428,Family,Find Me In Paris,Find Me In Paris,Series 3 Episode 6 Trip Down Memory Lane,"Lena seeks to find who she is and why everyone is so interested in her and her timepiece. When she and her friends attend a dance workshop in the South of France, they have to fight for the only spot available in the company.","With her time travel memories erased, Lena struggles to complete an assignment about her dance progress.","['ABC ME', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2096A006S00_5f59a7cdc4fd2_1280.jpg,"Cast Jessica Lord, Eubha Akilade, Castle Rock, Terique Jarrett, Christy O'Donnell","['abc3', 'abc3-faves', '3featured', '3drama', '3sport', '3dance', 'family-viewing']",2021-07-16 06:25:00,G,1463
429,Family,Australia Remastered: Wild Treasures,Australia Remastered: Wild Treasures,Wild Alps,Australia's diverse and unique landscapes and ecosystems are unparalleled. Aaron Pedersen showcases unique places of ecological significance and natural beauty where animals have adapted to their particular habitats.,"Australia might be world famous for its outback and red deserts, but there are also lush alpine regions that are just as unique and breathtaking and play a central role to the animals living along the east coast.","['ABC TV', 'ABC ME', 'DOCUMENTARY', 'FAMILY']",https://cdn.iview.abc.net.au/thumbs/i/do/DO1841H004S00_5fd1955a2f74f_1280.jpg,Host Aaron Pedersen,"['abc1', 'abc3', 'docs', 'factual', 'nature', 'wildlife', 'natural-world', 'animals', 'ocean', 'environment', 'explore', 'informative', 'science-week', 'family-viewing-abcme', 'abcme-shoulder', 'a:retirees', 'docuseries', 'australia', 'family-viewing']",2020-12-21 21:23:21,G,3315
