,category,title,series,episode_name,description,description2,tags,image,more,tags2,publication_date,rating,duration_sec
118,Panel Discussion,You Can't Ask That (Simplified Chinese Subtitles),You Can't Ask That (Simplified Chinese Subtitles),Series 3 Episode 4 Eating Disorders,Asking the most outrageous and uncomfortable questions to uncover the truth behind what it's like for marginalised and misunderstood Australians.,"With almost a million Australians currently living with an Eating Disorder, this is a subject that affects many but is still largely misunderstood, this episode of You Can't Ask That puts a human face to eating disorders.",['ABC TV'],https://cdn.iview.abc.net.au/thumbs/i/iv/IV1832H004S00_5b6be662172af_1280.jpg,No more information found,"['iview', 'docs', 'panel', 'interviews', 'abc1']",2018-08-09 17:00:00,M,1790
119,Panel Discussion,One Plus One,One Plus One,Series 2019 Matt Okine,"Some of your favourite ABC presenters bring you more revealing, thought provoking and intimate half hour conversations with fascinating people from all walks of life.","Throughout his career Matt Okine has made comedy out of life's darkest moments. The former triple j breakfast presenter speaks to Kathryn Robinson about cracking jokes, his latest book, and becoming a father.","['ABC TV', 'ARTS & CULTURE', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC1913H041S00_5dbb74c64b28b_1280.jpg,No more information found,"['abc1', 'news24', 'arts', 'panel', 'talks', 'people', 'interview', 'culture', 'latest', 'one-plus-one', 'interviews']",2019-11-01 13:30:00,No data found,1680
120,Panel Discussion,Q+A,Q+A,The Ethics of Accountability,"Q+A is back to get more of the answers to your questions from the people who know. Get set for another year of lively debate and surprising, thought-provoking discussions that challenge our thinking on big and complex issues.","Guest host David Speers and the panel discuss another COVID lockdown in Greater Sydney, the four-stage plan to lead us out of the pandemic, Australia's vaccination concerns plus accountability in government and academia.","['ABC TV', 'ABC NEWS', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2104H022S00_60e2a9a67f91b_1280.jpg,"Host Virginia Trioli, David Speers, Stan Grant","['abc1', 'news', 'panel', 'current-affairs', 'politics', 'interviews', 'featured']",2021-07-08 21:31:15,No data found,3620
121,Panel Discussion,The Drum,The Drum,Friday 1/4/2022,"A tapestry of voices with a range of opinions and viewpoints. Ellen Fanning and Julia Baird lead the conversations that will get the nation talking, joined by our informed panel plus revealing discussions with special guests.","Ellen Fanning is joined by John Barilaro, Rick Morton, Feyi Akindoyeni, and Catherine Liddle to discuss Hillsong, growing up in country Australia, and Labor's budget reply - will its focus on aged care resonate with voters?","['ABC TV', 'ABC NEWS', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2207H_61e63dd5efec4.jpg,No more information found,"['abc1', 'news24', 'news', 'panel', 'election', 'best-news24', 'latest', 'news-analysis']",2022-04-01 19:00:00,No data found,3481
122,Panel Discussion,You Can't Ask That,You Can't Ask That,Series 6 Obsessive Compulsive Disorder,Asking the most outrageous and uncomfortable questions to uncover the truth behind what it's like for marginalised and misunderstood Australians.,"According to SANE Australia, roughly 1 in 50 Australians have Obsessive Compulsive Disorder. People with OCD want others to know it's so much more than washing hands or keeping a clean desk.","['ABC TV', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1921H003S00_607541373bc0a.jpg,No more information found,"['abc1', 'panel', 'entertainment', 'factual', 'people', 'culture', 'inspirational', 'emotional', 'irreverent', 'quirky', 'feel-good', 'revealing', 'cald', 'diversity', 'lgbtqi', 'gender', 'disability', 'australia', 'binge-worthy']",2021-04-28 21:00:00,M,1814
123,Panel Discussion,Mock The Week,Mock The Week,Series 20 Episode 9,"Fast-tracked from the UK, the show combining the best elements of panel show, stand-up and improvised games with two teams of comedians taking a satirical swipe at the news and world events.","Dara O Briain and Hugh Dennis look back at all the stuff that's been going on in the news this week with Maisie Adam, Angela Barnes, Jen Brister, Rhys James and Ahir Shah.","['ABC TV Plus', 'COMEDY', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2791A009S00_61ad4b8195f36_5915.jpg,"Hosts Dara O'Briain, Hugh Dennis","['abc2', 'uk', 'comedy', 'panel', 'entertainment', 'cult-favourite', 'lighthearted', 'witty', 'quirky', 'funny', 'irreverent', 'pop-culture']",2021-12-02 20:30:10,M,1855
124,Panel Discussion,SA Votes 2022,SA Votes Clips,Antony Green declares Saturday's Labor win in SA an 'emphatic victory',"Trusted election coverage as South Australia Votes in the 2022 State Election. Presented by Jessica Harmsen, Rory McClaren and Chief ABC Elections Analyst Antony Green plus a panel with Vickie Chapman and Tom Koutsantonis.",Peter Malinauskas will become South Australia's 47th premier after leading Labor to a historic victory.,"['ABC TV', 'ABC NEWS', 'PANEL & DISCUSSION']",https://live-production.wcms.abc-cdn.net.au/87466ea77a2259ac756068357ef0862b?impolicy=wcms_crop_resize&cropH=576&cropW=1023&xPos=0&yPos=0&width=862&height=485,"Hosts Jessica Harmsen, Rory McClaren, Antony Green","['South', 'Australia', 'Election,', 'SA', 'Votes,', 'videoclips,']",2022-03-20 09:57:15,No data found,94
125,Panel Discussion,You Can't Ask That (Simplified Chinese Subtitles),You Can't Ask That (Simplified Chinese Subtitles),Series 1 Sex Workers,Asking the most outrageous and uncomfortable questions to uncover the truth behind what it's like for marginalised and misunderstood Australians.,Sex workers are invited to answer the questions Australians wanted to ask but were too embarrassed or afraid to ever ask in person. This program includes simplified Chinese language subtitles.,['ABC TV'],https://cdn.iview.abc.net.au/thumbs/i/iv/IV1808H009S00_5b1f64e14181d_1280.jpg,No more information found,"['docs', 'abc1']",2018-02-16 05:25:00,M,1407
126,Panel Discussion,Q+A,Q+A,Cost of Living and the Bottom Line,"Q+A is back to get more of the answers to your questions from the people who know. Get set for another year of lively debate and surprising, thought-provoking discussions that challenge our thinking on big and complex issues.","David Speers and the Q+A panel discuss the rising cost of living, low wages, healthcare and immigration ahead of the release of the 2022 Federal Budget.","['ABC TV', 'ABC NEWS', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2204H007S00_623b9b0e3cdb9_1280.jpg,"Host Virginia Trioli, David Speers, Stan Grant","['abc1', 'news', 'panel', 'current-affairs', 'politics', 'interviews', 'featured', 'budget', 'economy', 'finance', 'healthcare', 'wages', 'immigration', 'discussion', 'analysis']",2022-03-24 21:40:05,No data found,3768
127,Panel Discussion,Barrie Cassidy's One Plus One,Barrie Cassidy's One Plus One,Series 2021 Rebecca West,"Barrie Cassidy returns for a new season of One Plus One, with a series of in-depth conversations exploring how Australians have coped during COVID-19 pandemic.",Rebecca West was recently named one of the best teachers in the world. She talks to Barrie Cassidy about the difficulties her profession faced during COVID.,"['ABC TV', 'ARTS & CULTURE', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/nc/NC2131H003S00_61bec31d19fc4_1920.jpg,Host Barrie Cassidy,"['abc1', 'news24', 'arts', 'panel', 'talks', 'people', 'interview', 'culture', 'latest', 'one-plus-one', 'interviews']",2021-12-16 20:31:55,No data found,1685
128,Panel Discussion,Whovians,Whovians,Series 3 Episode 1,"Join Rove McManus, Tegan Higginbotham and Bajo - alongside a rotating roster of celebrity Doctor Who superfans, as they sit down to unpack the secrets and celebrate their love of Doctor Who.","Rove McManus and his team of superfans Tegan Higginbotham, Bajo, Justin Hamilton and Bridie Connell are back to dissect and discuss Doctor Who Series 12 Episodes 1 and 2: Spyfall.","['ABC TV Plus', 'COMEDY', 'PANEL & DISCUSSION']",https://cdn.iview.abc.net.au/thumbs/i/le/LE1919H001S00_5e1557e88957c_1280.jpg,"Hosts Rove McManus, Tegan Higginbotham, Steven O'Donnell","['abc2', 'aussie', 'comedy', 'panel', 'entertainment', 'quirky']",2020-01-09 21:33:53,PG,1725
